City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Puerto Guzman,CO,75.06,heavy intensity rain,0.9703,-76.5858,Hotel Campo Verde
651,Anaimalai,IN,76.71,scattered clouds,10.5833,76.9333,Mullai Farms
652,Bosaso,SO,84.38,clear sky,11.2842,49.1816,Red Sea Hotel
653,Ramanathapuram,IN,86.43,scattered clouds,9.3833,78.8333,Golden Residency
654,Sao Felix Do Xingu,BR,82.74,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
656,Lucea,JM,84.06,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
658,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
659,Caucaia,BR,85.95,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
661,Trairi,BR,82.06,overcast clouds,-3.2778,-39.2689,janelas do mar
663,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
665,Paracuru,BR,83.1,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
668,Nisia Floresta,BR,86.81,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
671,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
673,Naifaru,MV,84.11,overcast clouds,5.4444,73.3657,Naifaru Residence Guest House
674,Floriano,BR,85.42,overcast clouds,-6.7669,-43.0225,Hotel Maktub
676,Kralendijk,BQ,84.18,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
682,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,Fengshui Residence
686,Villa Carlos Paz,AR,75.4,clear sky,-31.4241,-64.4978,Monte Carlo vcp
687,Mariana,BR,71.1,broken clouds,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
689,Leona Vicario,MX,85.98,clear sky,20.9667,-87.1917,Don Ros Cabañas y Restaurante
693,Pitsunda,GE,78.98,light rain,43.1592,40.3378,Hotel FREEDOM
694,Mozarlandia,BR,90.0,few clouds,-14.7447,-50.5706,Hotel Santa Mônica
695,Pauini,BR,78.67,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
696,Canavieiras,BR,74.64,overcast clouds,-15.675,-38.9472,Bahiadomizil
697,Rincon,US,78.94,broken clouds,32.296,-81.2354,Days Inn Rincon
701,Marrakesh,MA,82.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
703,Prainha,BR,85.51,broken clouds,-1.8,-53.48,Casa Rocha
705,Dolores,AR,71.35,few clouds,-36.3132,-57.6792,Apart Hotel - Arianos
707,Awbari,LY,70.0,clear sky,26.5921,12.7805,فندق أوباري
708,Gracias,HN,87.46,few clouds,14.5833,-88.5833,Guancascos´Hotel & Restaurant
713,Galle,LK,81.19,overcast clouds,6.0367,80.217,Amangalla
717,Kindu,CD,70.7,moderate rain,-2.95,25.95,Résidence Okanda
719,Fort Walton Beach,US,79.18,scattered clouds,30.4058,-86.6188,Best Western Ft. Walton Beachfront
725,Cobija,BO,86.18,broken clouds,-11.0267,-68.7692,Hotel Obelisco
727,Nova Olimpia,BR,85.84,few clouds,-14.7972,-57.2881,Motel glamour
732,Aksum,ET,70.83,few clouds,14.1245,38.7244,Remhai Hotel
733,Placido De Castro,BR,85.41,overcast clouds,-10.3353,-67.1856,Hotel Carioca
734,Mutata,CO,83.41,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
735,Varzea Grande,BR,87.67,few clouds,-15.6467,-56.1325,Hotel Express
736,Camacari,BR,80.37,broken clouds,-12.6975,-38.3242,Sítio Blasi
