City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Caravelas,-17.7125,-39.2481,76.32,82,28,2.89,BR,2022-04-12 00:08:30
98,Bilma,18.6853,12.9164,85.33,6,0,5.64,NE,2022-04-12 00:08:46
99,Touros,-5.1989,-35.4608,79.25,77,100,10.11,BR,2022-04-12 00:09:59
100,Kupino,54.3663,77.2981,31.89,70,89,7.34,RU,2022-04-12 00:14:23
101,Sao Sebastiao,-23.76,-45.4097,74.55,90,43,8.81,BR,2022-04-12 00:14:23
102,Dera Ismail Khan,31.8327,70.9024,81.63,12,70,7.61,PK,2022-04-12 00:14:24
103,Tabou,4.423,-7.3528,79.93,88,55,5.23,CI,2022-04-12 00:10:35
104,Umm Kaddadah,13.6017,26.6876,76.78,12,11,6.55,SD,2022-04-12 00:08:11
105,Mahebourg,-20.4081,57.7,74.25,75,18,17.78,MU,2022-04-12 00:07:47
106,Sepuka,-4.75,34.5333,62.96,77,82,10.6,TZ,2022-04-12 00:14:25
107,Belousovka,50.1339,82.5239,29.25,93,33,2.24,KZ,2022-04-12 00:14:25
108,Saint Anthony,45.0205,-93.218,57.24,38,0,13.8,US,2022-04-12 00:04:09
109,Hithadhoo,-0.6,73.0833,83.34,67,47,11.83,MV,2022-04-12 00:07:27
110,Goderich,43.7501,-81.7165,51.91,73,100,8.1,CA,2022-04-12 00:08:02
111,Opuwo,-18.0607,13.84,66.13,79,82,2.55,NA,2022-04-12 00:14:26
112,Puerto Ayora,-0.7393,-90.3518,78.55,94,100,5.99,EC,2022-04-12 00:14:27
113,Calvinia,-31.4707,19.776,63.3,50,13,5.39,ZA,2022-04-12 00:14:28
114,Ormara,25.2088,64.6357,78.37,78,0,2.62,PK,2022-04-12 00:10:08
115,Jumla,29.2747,82.1838,50.31,68,76,3.44,NP,2022-04-12 00:14:28
116,Sistranda,63.7256,8.834,39.16,76,100,21.45,NO,2022-04-12 00:10:31
117,Aswan,24.0934,32.907,78.44,17,0,19.08,EG,2022-04-12 00:11:01
118,Takoradi,4.8845,-1.7554,80.82,86,75,7.47,GH,2022-04-12 00:11:48
119,Rosario Do Sul,-30.2583,-54.9142,66.87,94,90,0.69,BR,2022-04-12 00:10:40
120,San Jose,37.3394,-121.895,58.19,36,40,24.16,US,2022-04-12 00:13:48
121,Kruisfontein,-34.0033,24.7314,62.53,90,17,3.4,ZA,2022-04-12 00:07:37
